,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,Obama'nın,3.0,26.0,nmod:poss,Obama,PROPN,PROPN,"{'Case': 'Gen', 'Number': 'Sing'}",,{'Proper': 'True'}
1,1,2,Özel,3.0,4.0,amod,özel,ADJ,JJ,{'Number': 'Sing'},,
2,1,3,Asistanı,4.0,26.0,nmod,Asistan,NOUN,NN,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
3,1,4,Kori,30.0,27.0,nsubj,Kori,PROPN,PROPN,{'Number': 'Sing'},,{'Proper': 'True'}
4,1,5,Schulman,4.0,21.0,flat,Schulman,PROPN,PROPN,"{'Case': 'Nom', 'Number': 'Sing'}",,{'Proper': 'True'}
5,1,6,Pazartesi,7.0,26.0,nmod:poss,pazartesi,NOUN,NN,{'Number': 'Sing'},,
6,1,7,günü,8.0,30.0,obl,gün,NOUN,NN,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
7,1,8,yayınladığı,10.0,1.0,acl,yayınla,ADJ,VJ,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
8,1,9,blog,10.0,26.0,nmod:poss,blog,NOUN,NN,{'Number': 'Sing'},,
9,1,10,yazısında,30.0,30.0,obl,yazı,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
10,1,11,"""",28.0,33.0,punct,"""",PUNCT,``,,,{'SpaceAfter': 'No'}
12,1,12,ABD'de,15.0,4.0,amod,ABD',PROPN,PROPN,"{'Case': 'Loc', 'Number': 'Sing'}",,{'Proper': 'True'}
13,1,13,ki,12.0,7.0,case,ki,ADP,JJ,,,
14,1,14,dijital,15.0,4.0,amod,dijital,ADJ,JJ,{'Number': 'Sing'},,
